name,location,number,google_rating,num_reviews
AIB Bank,100 101 Grafton Street ,(01) 671 3011,2.9,109
AIB Bank,7/12 Dame St ,(01) 679 3211,2.9,45
AIB IFSC,Dublin 1 ,(01) 829 1880,4,1
AIB Bank,61 Richmond St S ,(01) 478 4533,1.9,49
AIB Bank,126 128 Capel St ,(01) 872 1022,3.3,127
AIB Bank,Cabra County Dublin ,(01) 868 0071,2.2,56
AIB Bank,1 4 Baggot Street Lower ,(01) 661 0188,3.7,33
AIB Bank,Dublin 11 ,(01) 834 1200,2.9,36
AIB Bank,County Dublin ,(01) 455 6833,3.3,42
AIB Bank,Dublin 9 ,(01) 837 3756,2.8,27
AIB Bank,Dublin 6 ,(01) 497 3336,2.6,37
AIB Bank,County Dublin ,(01) 821 2566,3.3,95
AIB Bank,2 Hanover Quay ,(01) 604 0034,3.4,38
AIB Bank,Dublin 9 ,(01) 842 6477,2.8,49
AIB Bank,Naas Rd ,(01) 403 4284,3.8,26
AIB Bank,Artane County Dublin ,(01) 831 8466,2.8,4
AIB Bank,Sandymount County Dublin ,(01) 668 4116,2.9,13
AIB Bank,Dublin 11 ,(01) 842 0285,2.3,15
AIB Bank,Clonskeagh County Dublin ,(01) 269 4622,3.2,22
AIB Bank,Dublin 6 ,(01) 497 5741,2.6,37
AIB Bank,Dublin 24 ,(01) 451 2811,3,63
AIB Bank,Dublin 5 ,(01) 831 4166,2.9,27
AIB Bank,Dundrum County Dublin ,(01) 298 3777,3.3,23
AIB Bank,County Dublin ,(01) 288 5371,3.1,27
AIB Bank,Dublin 18 ,(01) 289 5590,2.6,38
AIB Bank,Clondalkin County Dublin ,(01) 457 4811,2.4,37
AIB Bank,County Dublin ,086 029 2225,4.1,41
AIB Bank,Blackrock County Dublin ,(01) 288 0705,2.3,37
AIB Bank,Dún Laoghaire County Dublin ,(01) 284 4055,3.5,24
AIB Bank,County Dublin ,(01) 490 4607,2.2,19
AIB,The Park ,(01) 290 3700,3.9,32
AIB Bank,Dublin ,(01) 414 4836,4.5,2
AIB Bank,Malahide County Dublin ,(01) 845 1166,3.2,17
AIB,Tallaght County Dublin ,(0818) 724 724,-,-
AIB Bank,Lucan County Dublin ,(01) 628 2991,3,34
AIB Bank,Lucan County Dublin ,(01) 654 0430,-,-
AIB Bank,Swords County Dublin ,(01) 840 4001,2.9,56
AIB Bank,Leixlip County Kildare ,(01) 624 4949,2.7,20
AIB Bank,Ashbourne County Meath ,(01) 835 0203,3.8,26
